school_name,district,region,state,city,zip_code,grade_levels,student_count,contact_phone,website,school_type,total_enrollment,verification_status,data_source
Monterey High School,Lubbock ISD,West Texas,TX,Lubbock,79410,"9,10,11,12",1850,806-219-2300,https://www.lubbockisd.org/monterey,high_school,1850,pending,nces_import
Coronado High School,Lubbock ISD,West Texas,TX,Lubbock,79423,"9,10,11,12",2050,806-219-2400,https://www.lubbockisd.org/coronado,high_school,2050,pending,nces_import
Frenship High School,Frenship ISD,West Texas,TX,Wolfforth,79382,"9,10,11,12",2200,806-866-4400,https://www.frenship.us/fhs,high_school,2200,pending,nces_import
Amarillo High School,Amarillo ISD,Panhandle,TX,Amarillo,79109,"9,10,11,12",1750,806-326-1000,https://www.amaisd.org/ahs,high_school,1750,pending,nces_import
Palo Duro High School,Amarillo ISD,Panhandle,TX,Amarillo,79109,"9,10,11,12",1800,806-326-1100,https://www.amaisd.org/pdhs,high_school,1800,pending,nces_import
Caprock High School,Amarillo ISD,Panhandle,TX,Amarillo,79109,"9,10,11,12",1650,806-326-1200,https://www.amaisd.org/caprock,high_school,1650,pending,nces_import
Tascosa High School,Amarillo ISD,Panhandle,TX,Amarillo,79124,"9,10,11,12",1700,806-326-1300,https://www.amaisd.org/tascosa,high_school,1700,pending,nces_import
Arlington High School,Arlington ISD,North Texas,TX,Arlington,76010,"9,10,11,12",2100,682-867-7300,https://www.aisd.net/ahs,high_school,2100,pending,nces_import
Bowie High School,Arlington ISD,North Texas,TX,Arlington,76013,"9,10,11,12",2000,682-867-7400,https://www.aisd.net/bowie,high_school,2000,pending,nces_import
Lamar High School,Arlington ISD,North Texas,TX,Arlington,76014,"9,10,11,12",1950,682-867-7500,https://www.aisd.net/lamar,high_school,1950,pending,nces_import
Martin High School,Arlington ISD,North Texas,TX,Arlington,76001,"9,10,11,12",2200,682-867-7600,https://www.aisd.net/martin,high_school,2200,pending,nces_import
Sam Houston High School,Arlington ISD,North Texas,TX,Arlington,76011,"9,10,11,12",1900,682-867-7700,https://www.aisd.net/samhouston,high_school,1900,pending,nces_import
Seguin High School,Arlington ISD,North Texas,TX,Arlington,76017,"9,10,11,12",1850,682-867-7800,https://www.aisd.net/seguin,high_school,1850,pending,nces_import
Fort Worth Polytechnic High School,Fort Worth ISD,North Texas,TX,Fort Worth,76110,"9,10,11,12",1600,817-814-5000,https://www.fwisd.org/polytechnic,high_school,1600,pending,nces_import
Eastern Hills High School,Fort Worth ISD,North Texas,TX,Fort Worth,76118,"9,10,11,12",1750,817-814-5100,https://www.fwisd.org/easternhills,high_school,1750,pending,nces_import
North Side High School,Fort Worth ISD,North Texas,TX,Fort Worth,76164,"9,10,11,12",1900,817-814-5200,https://www.fwisd.org/northside,high_school,1900,pending,nces_import
Trimble Tech High School,Fort Worth ISD,North Texas,TX,Fort Worth,76115,"9,10,11,12",1650,817-814-5300,https://www.fwisd.org/trimbletech,high_school,1650,pending,nces_import
South Hills High School,Fort Worth ISD,North Texas,TX,Fort Worth,76132,"9,10,11,12",1700,817-814-5400,https://www.fwisd.org/southhills,high_school,1700,pending,nces_import
Paschal High School,Fort Worth ISD,North Texas,TX,Fort Worth,76107,"9,10,11,12",1950,817-814-5500,https://www.fwisd.org/paschal,high_school,1950,pending,nces_import
Western Hills High School,Fort Worth ISD,North Texas,TX,Fort Worth,76116,"9,10,11,12",1800,817-814-5600,https://www.fwisd.org/westernhills,high_school,1800,pending,nces_import
North Crowley High School,Crowley ISD,North Texas,TX,Fort Worth,76179,"9,10,11,12",2400,817-297-5800,https://www.crowley.k12.tx.us/northcrowley,high_school,2400,pending,nces_import
Crowley High School,Crowley ISD,North Texas,TX,Crowley,76036,"9,10,11,12",2200,817-297-5700,https://www.crowley.k12.tx.us/crowley,high_school,2200,pending,nces_import
Burleson High School,Burleson ISD,North Texas,TX,Burleson,76028,"9,10,11,12",2100,817-426-3300,https://www.burlesonisd.net/bhs,high_school,2100,pending,nces_import
Centennial High School,Burleson ISD,North Texas,TX,Burleson,76028,"9,10,11,12",2000,817-426-3400,https://www.burlesonisd.net/centennial,high_school,2000,pending,nces_import
Waco High School,Waco ISD,Central Texas,TX,Waco,76701,"9,10,11,12",1600,254-755-9471,https://www.wacoisd.org/whs,high_school,1600,pending,nces_import
University High School,Waco ISD,Central Texas,TX,Waco,76705,"9,10,11,12",1500,254-755-9486,https://www.wacoisd.org/university,high_school,1500,pending,nces_import
Midway High School,Midway ISD,Central Texas,TX,Waco,76712,"9,10,11,12",2300,254-761-5610,https://www.midwayisd.org/mhs,high_school,2300,pending,nces_import
Killeen High School,Killeen ISD,Central Texas,TX,Killeen,76541,"9,10,11,12",2400,254-336-0200,https://www.killeenisd.org/khs,high_school,2400,pending,nces_import
Harker Heights High School,Killeen ISD,Central Texas,TX,Harker Heights,76548,"9,10,11,12",2300,254-336-3600,https://www.killeenisd.org/hhhs,high_school,2300,pending,nces_import
Shoemaker High School,Killeen ISD,Central Texas,TX,Killeen,76543,"9,10,11,12",2200,254-336-1400,https://www.killeenisd.org/shs,high_school,2200,pending,nces_import
Ellison High School,Killeen ISD,Central Texas,TX,Killeen,76542,"9,10,11,12",2350,254-336-4100,https://www.killeenisd.org/ehs,high_school,2350,pending,nces_import
Temple High School,Temple ISD,Central Texas,TX,Temple,76501,"9,10,11,12",1900,254-215-2000,https://www.templeisd.org/ths,high_school,1900,pending,nces_import
Belton High School,Belton ISD,Central Texas,TX,Belton,76513,"9,10,11,12",2000,254-215-2100,https://www.bisd.net/bhs,high_school,2000,pending,nces_import
Tyler High School,Tyler ISD,East Texas,TX,Tyler,75701,"9,10,11,12",2000,903-262-2100,https://www.tylerisd.org/ths,high_school,2000,pending,nces_import
Tyler Legacy High School,Tyler ISD,East Texas,TX,Tyler,75703,"9,10,11,12",1950,903-262-2200,https://www.tylerisd.org/legacy,high_school,1950,pending,nces_import
John Tyler High School,Tyler ISD,East Texas,TX,Tyler,75702,"9,10,11,12",1850,903-262-2300,https://www.tylerisd.org/johntyler,high_school,1850,pending,nces_import
Longview High School,Longview ISD,East Texas,TX,Longview,75601,"9,10,11,12",2200,903-381-2200,https://www.lisd.org/lhs,high_school,2200,pending,nces_import
Pine Tree High School,Pine Tree ISD,East Texas,TX,Longview,75604,"9,10,11,12",1600,903-295-5000,https://www.ptisd.org/pths,high_school,1600,pending,nces_import
Marshall High School,Marshall ISD,East Texas,TX,Marshall,75670,"9,10,11,12",1400,903-927-8700,https://www.marshallisd.com/mhs,high_school,1400,pending,nces_import
Lufkin High School,Lufkin ISD,East Texas,TX,Lufkin,75901,"9,10,11,12",1950,936-630-4200,https://www.lufkinisd.org/lhs,high_school,1950,pending,nces_import
Nacogdoches High School,Nacogdoches ISD,East Texas,TX,Nacogdoches,75961,"9,10,11,12",1600,936-569-5000,https://www.nacisd.org/nhs,high_school,1600,pending,nces_import
College Station High School,College Station ISD,Central Texas,TX,College Station,77845,"9,10,11,12",2300,979-764-5500,https://www.csisd.org/cshs,high_school,2300,pending,nces_import
